# Tiempo (s) 	 Tensión CH1 (V) 	 Tensión CH2 (V)
1.109999999999999537e-05	9.800000000000000711e+00	0.000000000000000000e+00
1.119999999999999780e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.130000000000000023e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.139999999999999588e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.149999999999999831e-05	1.000000000000000000e+01	4.000000000000000192e-04
1.159999999999999397e-05	1.020000000000000107e+01	-4.000000000000000192e-04
1.169999999999999640e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.179999999999999883e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.189999999999999449e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.199999999999999692e-05	1.040000000000000036e+01	0.000000000000000000e+00
1.209999999999999935e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.219999999999999500e-05	1.040000000000000036e+01	-4.000000000000000192e-04
1.229999999999999743e-05	1.040000000000000036e+01	0.000000000000000000e+00
1.239999999999999986e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.249999999999999552e-05	1.040000000000000036e+01	0.000000000000000000e+00
1.259999999999999795e-05	1.040000000000000036e+01	-4.000000000000000192e-04
1.270000000000000038e-05	1.020000000000000107e+01	-4.000000000000000192e-04
1.279999999999999603e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.289999999999999846e-05	1.020000000000000107e+01	-4.000000000000000192e-04
1.299999999999999412e-05	1.000000000000000000e+01	-4.000000000000000192e-04
1.309999999999999655e-05	9.800000000000000711e+00	0.000000000000000000e+00
1.319999999999999898e-05	1.000000000000000000e+01	-4.000000000000000192e-04
1.329999999999999463e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.339999999999999706e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.349999999999999949e-05	1.000000000000000000e+01	-4.000000000000000192e-04
1.359999999999999515e-05	9.800000000000000711e+00	0.000000000000000000e+00
1.369999999999999758e-05	1.000000000000000000e+01	-4.000000000000000192e-04
1.380000000000000001e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.389999999999999567e-05	1.000000000000000000e+01	0.000000000000000000e+00
