tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.0032,29.6,28.8,-9
0.0032,28.8,28.8,-9
0.00321,32,29.6,-9
0.00321,31.2,31.2,-8.8
0.00322,32.8,32,-8.8
0.00322,34.4,32.8,-8.8
0.00322,36.8,34.4,-9
0.00323,36,36,-8.8
0.00323,40,37.6,-9
0.00324,39.2,36.8,-8.8
0.00324,42.4,40.8,-8.8
0.00324,44,40.8,-9
0.00325,44.8,44.8,-9
0.00325,46.4,44,-9
0.00326,49.6,47.2,-8.8
0.00326,50.4,47.2,-9
0.00326,52.8,49.6,-8.8
0.00327,55.2,50.4,-9
0.00327,56.8,52.8,-9
0.00328,57.6,52.8,-9
0.00328,59.2,56.8,-9
0.00328,60.8,56,-9
0.00329,61.6,58.4,-9
0.00329,63.2,60,-8.8
